study,n,r,girl ratio,interaction
Banerjee & Watling (2005) year 1 cohort,113,0.07,0.52,0
Banerjee & Watling (2005) year 4 cohort,195,0.14,0.43,0
Banerjee et al. (2011) younger group,72,0.19,0.57,0
Banerjee et al. (2011) older group,138,0.11,0.43,0
Braza et al. (2009),98,0.21,0.56,1
Caputi et al. (2012),70,0.05,0.44,1
Cassidy et al. (2003),67,0.22,0.52,1
Dockett & Degotardi (1997),24,0.46,0.54,1
Fink et al. (2014),114,0.3,0.49,1
Fink et al. (2015),114,0.35,0.49,1
Flynn & Whiten (2012),88,0.34,0.58,1
Hoglund et al. (2008) grade 2,114,0.15,0.5,1
Kuhnert et al. (2017),114,0.12,0.49,1
Mizokawa & Koyasu (2011),102,0.19,0.55,1
Morino (2005) junior class,43,-0.06,0.51,1
Morino (2005) middle class,47,0.24,0.51,1
Morino (2005) senior class,47,0.4,0.49,1
Peterson & Siegal (2002),109,0.32,0.4,1
Slaughter et al. (2002) study1,78,0.27,0.47,1
Slaughter et al. (2002) study2,87,0.11,0.47,1
Spence (1987),60,0.49,0.47,1
Watson et al. (1999) study2,52,0.41,0.42,1
